Attacker Hash,First Attacks,Second Attacks,Both Attacks,Attacks,Exchange Attacks,Bot Attacks,Profit,Exchange Count,Neighbors,Bot Cluster ID
0x81EdF2A71c25f2DBF45Ac89e3f1519ccd5B1b27e,1,0,0,1,0,1,47.05548717776967,1,1,1
0x8FD60723CF05E5Ce4EA660567fE582672cca2b91,0,1,0,1,0,1,47.05548717776967,1,1,1
0x38E28A22DA303d599201Cfe22D39F422B613DBfE,0,1,0,1,0,1,1.407267099015202,1,1,1
0xA8B7CB8b76F70eE0890912836C8f7a5eaB69b85a,1,0,0,1,0,1,-0.5087461424939244,1,1,1
0x32bab4F64CE45012b339afb64f71936d4fe1c87D,1093,1093,1093,1093,0,1093,9294.07226782977,1,1,5
0x82A70eC996c142B1bE74c650aCFDdC02379C1E43,229,229,229,229,73,156,158.1676679980984,1,1,6
0x779830Ea410B37a5888405Ff9d31E34540028094,482,482,482,482,0,482,1547.0051967894315,1,1,5
0x2926A3b8c2Cc2da7e9e3c9166AEcaCC3c5529Df3,49,49,49,49,0,49,532.255339265867,1,1,1
0x29D0C693F7647dbE343D8ff033A7e4e58FDBB94E,20,0,0,20,0,20,310.26794524685295,1,1,4
0x91857567F835DEfe8EC5c587826EEB84046e6BAC,2,0,0,2,0,2,0.1473161958734339,1,2,1
0xa62788B78738160f931Ac5a5bf61D0b3A7c2E1d3,25,25,25,25,0,25,263.04157296501614,1,1,5
0x4C6F6fa6ef89e4b44f2e5F9722EF055732A20Ad7,60,60,60,60,0,60,285.116474797473,1,1,5
0x496d46Ea1852799FeA20A98c8Adc625E0b9EEE29,82,82,82,82,0,82,608.1488868313738,1,1,5
0xea4f223E19786f520B85bc38755113Bb3420D388,44,44,44,44,0,44,226.1196578595155,1,1,7
0xd450f8dafd4C7F1C33FFD4aC7e0554B5D7F1575c,9,9,9,9,0,9,-11.01127819459311,1,1,7
0xE4f2C083648d8fd9B6A6E01A73Af9bC251042826,116,116,116,116,0,116,994.1260822257906,1,1,5
0xF33608a71d019f56681ae8161FD054Fb863880e6,87,87,87,87,0,87,962.1167109682492,1,1,8
0x3bdDf691738bC53C29aa200bFf1390672c3E5B3e,13,13,13,13,0,13,150.01252826256567,1,1,9
0x52d8d9f66019e5E168EF37a967DDda9F73662d24,0,1,0,1,0,1,0.1637621334912636,1,1,1
0xF1DCa5C57e5BdDAcC4A1e3AE74e5a37a88c39f40,5,5,5,5,0,5,13.359323346250427,1,1,5
0x4EeF54D395FB94f70C90a1eB1698c59591894266,94,94,94,94,0,94,1005.7771195583111,1,1,5
0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,699,699,699,699,0,699,3068.6123013712813,1,1,10
0xB478397d381Ec57500F785815ce480647eDBC649,38,38,38,38,0,38,208.545417225059,1,1,7
0xaaa1f2842784a61c16d51a3777EE7d6Af4970dc3,564,564,564,564,0,564,1710.7254410608914,1,1,10
0xcadDDE56d9bDD9D8aBA97C7F911b8bb98CbAF998,6,6,6,6,0,6,34.645768823492226,1,1,11
0x0fEBCF47c05E9Af3c1227A9620695f03B29f6B6F,78,78,78,78,0,78,439.9322951152343,1,1,12
0x0cBFd08a2307294E45e86841550F4c4582C7A31C,16,16,16,16,0,16,91.8060009589969,1,1,11
0x6FA602955FC945fdAA1984124ad6c08bC0087245,1,1,1,1,0,1,4.050405272712974,1,1,13
0xB16684BEB8b21c0A7C83Df5BaB9700A78b12ad7e,31,31,31,31,0,31,233.83968177865967,1,1,7
0x60BBbC4Ff78a3aB0079080519009DCfe5ab09660,24,24,24,24,0,24,132.8600528850193,1,1,7
0x00e866883fDcC4836F8Dc093b8B77AeDDE92cEEE,111,111,111,111,0,111,613.0555059890581,1,1,1
0xA9743f26950B4b17C8d61ca5C06662Fd7f8A147e,1,1,1,1,0,1,3.0259655116120325,1,1,7
0x0A21e7DaBA9Bf1953C0Ad8b505F0b827A3aF3672,12,0,0,12,0,12,173.4359004058674,1,1,4
0x5AEb192807662cEF06E79d00277d39Bbe808408b,1,1,1,1,0,1,4.139598921013943,1,1,11
0x0595fdDbBB4BA4d823BF6e8dAd0442b6949c8dF1,9,9,9,9,0,9,39.89749131904139,1,1,13
0x9080777b53b21C9F38DE93BbFE41aAC6131B04aF,8,8,8,8,0,8,5.117885123814922,1,1,13
0xa6B4c90dD58319E11fB4694251B5a30c1aC7cD80,5,5,5,5,0,5,26.26743418769378,1,1,13
0x4c9AcDFF993BF48d549bF04948DC6405D16C4A10,1,1,1,1,0,1,343.73157812677533,1,1,13
0x4C4dEd2EA3C0D33Da97882291A848252c9Bd11b5,1,1,1,1,0,1,15.40955450267068,1,1,13
0x8ef521cc75fb184c96cac0242BAcBa38F0DC12E2,24,24,24,24,0,24,270.8106663658318,1,1,8
0x05a60E35b500D3D5d306407a21926e9B49e2d849,3,3,3,3,0,3,30.280558360563845,1,1,13
0x2De82DEc30bE36a507C7B16b28Ceb7b863d4e67C,6,6,6,6,0,6,308.23072582647455,1,1,13
0xe6E54C3ad01Bd55d49598dc044dc5c2544a5D475,33,33,33,33,0,33,111.66457704022515,1,1,13
0xDc769FB35B2Ce05D3286d7257085538e73AFb8Cc,9,9,9,9,0,9,834.5929188851437,1,1,14
